,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,3781500000.0,2813800000.0,-173600000.0,-1616400000.0
Change To Liabilities,-661100000.0,2094500000.0,1780400000.0,-763100000.0
Total Cashflows From Investing Activities,-9104600000.0,-11291300000.0,-18284600000.0,-24184400000.0
Net Borrowings,-10997900000.0,-8592500000.0,4175400000.0,5276400000.0
Total Cash From Financing Activities,-20609800000.0,-25061900000.0,-6165700000.0,-3114100000.0
Change To Operating Activities,-1266900000.0,-223800000.0,-3581600000.0,2348200000.0
Net Income,12909300000.0,11741500000.0,8989400000.0,9423100000.0
Change In Cash,161200000.0,-249100000.0,-204300000.0,336500000.0
Total Cash From Operating Activities,29875600000.0,36104100000.0,24246000000.0,27635000000.0
Depreciation,12829500000.0,13143500000.0,12265300000.0,11315000000.0
Other Cashflows From Investing Activities,-600000.0,-632800000.0,767700000.0,781700000.0
Dividends Paid,-2643400000.0,-5575100000.0,-2403100000.0,-1057400000.0
Change To Inventory,1478900000.0,287900000.0,-1721500000.0,-855100000.0
Change To Account Receivables,-2097100000.0,-1150800000.0,-1206400000.0,-1651700000.0
Other Cashflows From Financing Activities,-6968500000.0,-8491200000.0,-7938000000.0,-7333100000.0
Change To Netincome,6577900000.0,10069600000.0,7671700000.0,7772100000.0
Capital Expenditures,-12959700000.0,-13567800000.0,-19886700000.0,-23779300000.0
