,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-21878000000.0,261800000.0,-2025900000.0,6401100000.0
Change To Liabilities,8481800000.0,10160200000.0,652700000.0,716500000.0
Total Cashflows From Investing Activities,-25952200000.0,-6489600000.0,-8959400000.0,-64100000.0
Net Borrowings,-99200000.0,-263300000.0,-470200000.0,167800000.0
Total Cash From Financing Activities,-10757300000.0,-10605200000.0,-6626700000.0,-12023800000.0
Change To Operating Activities,23163300000.0,3255500000.0,-7528300000.0,-17985100000.0
Net Income,20989400000.0,18238500000.0,18864000000.0,14317200000.0
Change In Cash,14222700000.0,8609300000.0,-447300000.0,-18953800000.0
Total Cash From Operating Activities,50932200000.0,25704100000.0,15138800000.0,-6865900000.0
Depreciation,3873200000.0,3682300000.0,3381300000.0,2717200000.0
Other Cashflows From Investing Activities,605000000.0,862000000.0,678000000.0,1590600000.0
Dividends Paid,-10227400000.0,-9801700000.0,-5662400000.0,-8199800000.0
Change To Inventory,-9965100000.0,4736400000.0,2826700000.0,1637600000.0
Change To Account Receivables,1620300000.0,-13503500000.0,-3593700000.0,-6460400000.0
Other Cashflows From Financing Activities,-430700000.0,-540200000.0,-494100000.0,-269200000.0
Change To Netincome,4021600000.0,564000000.0,493000000.0,-2598500000.0
Capital Expenditures,-4692500000.0,-7622000000.0,-7614200000.0,-8071100000.0
Repurchase Of Stock,,,,-3722600000.0
