,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-2166800000.0,-343800000.0,-282500000.0,253000000.0
Change To Liabilities,2409100000.0,-2314600000.0,-162000000.0,1662600000.0
Total Cashflows From Investing Activities,-3401700000.0,-2458900000.0,-1956400000.0,-1904000000.0
Net Borrowings,325800000.0,-1862500000.0,-1542500000.0,-1502600000.0
Total Cash From Financing Activities,2857100000.0,-2841200000.0,-2803700000.0,-2908100000.0
Change To Operating Activities,-526400000.0,-350500000.0,604200000.0,-445900000.0
Issuance Of Stock,3470300000.0,608000000.0,26100000.0,1100000.0
Net Income,2863200000.0,3063400000.0,2404200000.0,1473900000.0
Change In Cash,4912000000.0,660500000.0,173800000.0,-628300000.0
Total Cash From Operating Activities,2684400000.0,5960600000.0,4933900000.0,4090700000.0
Depreciation,2486400000.0,1848000000.0,1613800000.0,1534100000.0
Other Cashflows From Investing Activities,197300000.0,75900000.0,161000000.0,110400000.0
Dividends Paid,-388500000.0,-977300000.0,-422300000.0,-609400000.0
Change To Inventory,-2068900000.0,2565300000.0,-505600000.0,-186100000.0
Change To Account Receivables,-2972700000.0,1261800000.0,317000000.0,-625600000.0
Other Cashflows From Financing Activities,-550500000.0,-609400000.0,-865000000.0,-797200000.0
Change To Netincome,467100000.0,-117500000.0,660300000.0,676400000.0
Capital Expenditures,-1503600000.0,-2219000000.0,-1941900000.0,-2347900000.0
