,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-3151200000.0,-2410900000.0,-4684100000.0,-1744900000.0
Change To Liabilities,1790700000.0,169400000.0,603500000.0,2097900000.0
Total Cashflows From Investing Activities,-3031300000.0,-2265700000.0,-4458200000.0,-1742100000.0
Net Borrowings,-232800000.0,-216700000.0,-216700000.0,-216700000.0
Total Cash From Financing Activities,-894700000.0,-695400000.0,-340800000.0,-106300000.0
Change To Operating Activities,-529500000.0,461700000.0,400700000.0,94300000.0
Net Income,4600400000.0,4914800000.0,3588400000.0,2497300000.0
Change In Cash,-321600000.0,482900000.0,-1654800000.0,799700000.0
Effect Of Exchange Rate,-39600000.0,144300000.0,26500000.0,19200000.0
Total Cash From Operating Activities,3644000000.0,3299700000.0,3117700000.0,2628900000.0
Depreciation,486600000.0,413200000.0,158100000.0,150600000.0
Other Cashflows From Investing Activities,592800000.0,736000000.0,458000000.0,190400000.0
Dividends Paid,-661900000.0,-396900000.0,-282600000.0,-88300000.0
Change To Inventory,254800000.0,-158300000.0,-252900000.0,171400000.0
Change To Account Receivables,-3071500000.0,-1441900000.0,-419300000.0,-1851000000.0
Change To Netincome,112500000.0,-1059500000.0,-961600000.0,-533000000.0
Capital Expenditures,-485400000.0,-593200000.0,-237000000.0,-192800000.0
Other Cashflows From Financing Activities,,-81800000.0,-58200000.0,-18000000.0
