,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-177110600000.0,38753700000.0,-82749200000.0,19077500000.0
Change To Liabilities,22197800000.0,31342300000.0,68190600000.0,117270200000.0
Total Cashflows From Investing Activities,-54288400000.0,-82562700000.0,-110228000000.0,39145000000.0
Net Borrowings,-91141000000.0,135595700000.0,178653400000.0,126190000000.0
Total Cash From Financing Activities,-152743800000.0,63715500000.0,154401700000.0,93704600000.0
Change To Operating Activities,46177100000.0,69200000.0,-138551600000.0,-164592500000.0
Issuance Of Stock,158500000.0,175600000.0,113100000.0,495000000.0
Net Income,115829300000.0,95490300000.0,89051300000.0,73698600000.0
Change In Cash,21390600000.0,46577200000.0,-3384600000.0,32539400000.0
Total Cash From Operating Activities,228422800000.0,65424400000.0,-47558300000.0,-100310200000.0
Depreciation,15242700000.0,24438100000.0,17327400000.0,16729900000.0
Other Cashflows From Investing Activities,130097900000.0,8673400000.0,9613400000.0,31523000000.0
Dividends Paid,-36508900000.0,-39296100000.0,-22431800000.0,-19607600000.0
Change To Inventory,3489000000.0,3531900000.0,3305800000.0,-6423800000.0
Change To Account Receivables,27838100000.0,-112781200000.0,-92409800000.0,-145011100000.0
Other Cashflows From Financing Activities,-25252400000.0,-32759700000.0,-1933000000.0,-13372800000.0
Change To Netincome,-3771300000.0,23333800000.0,5528000000.0,8018500000.0
Capital Expenditures,-18077000000.0,-34368200000.0,-43073800000.0,-28771700000.0
