,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Change To Liabilities,5595200000.0,1122600000.0,1861700000.0,483290000.0
Total Cashflows From Investing Activities,-9409900000.0,-2211300000.0,-2528750000.0,-3841520000.0
Net Borrowings,3804000000.0,-58200000.0,564170000.0,1372000000.0
Total Cash From Financing Activities,2547000000.0,-1276600000.0,-447710000.0,422430000.0
Change To Operating Activities,303300000.0,-234500000.0,155610000.0,-241850000.0
Issuance Of Stock,73800000.0,26100000.0,24310000.0,2740000.0
Net Income,9835800000.0,2552700000.0,937640000.0,1676100000.0
Change In Cash,467700000.0,-12800000.0,-360000.0,5810000.0
Effect Of Exchange Rate,600000.0,900000.0,-530000.0,-40000.0
Total Cash From Operating Activities,7330000000.0,3474200000.0,2976630000.0,3424940000.0
Depreciation,2050700000.0,1834600000.0,1604980000.0,1219260000.0
Other Cashflows From Investing Activities,11700000.0,9000000.0,8840000.0,69490000.0
Dividends Paid,-750400000.0,-320000000.0,-159040000.0,-158640000.0
Change To Inventory,-6601700000.0,-2232300000.0,-969030000.0,-757370000.0
Change To Account Receivables,-5237400000.0,-653400000.0,-1492860000.0,21140000.0
Other Cashflows From Financing Activities,-580400000.0,-924500000.0,-877150000.0,-793670000.0
Change To Netincome,1384100000.0,1046400000.0,841650000.0,989100000.0
Capital Expenditures,-6887700000.0,-2221900000.0,-2542620000.0,-3911120000.0
