,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-50114000000.0,27434000000.0,10289000000.0,-45046000000.0
Change To Liabilities,26801000000.0,-21551000000.0,-8579000000.0,21280000000.0
Total Cashflows From Investing Activities,-72913000000.0,-5566000000.0,-35399000000.0,-83017000000.0
Net Borrowings,3692000000.0,-554000000.0,388000000.0,-3628000000.0
Total Cash From Financing Activities,-15449000000.0,-31043000000.0,-29479000000.0,-34361000000.0
Change To Operating Activities,7950000000.0,-8642000000.0,5561000000.0,8382000000.0
Net Income,43891000000.0,56760000000.0,76491000000.0,78800000000.0
Change In Cash,200000000.0,-1651000000.0,1131000000.0,501000000.0
Total Cash From Operating Activities,88562000000.0,34958000000.0,66009000000.0,117879000000.0
Depreciation,30341000000.0,35284000000.0,30208000000.0,27598000000.0
Other Cashflows From Investing Activities,702000000.0,1000000000.0,1334000000.0,881000000.0
Dividends Paid,-18125000000.0,-24166000000.0,-24166000000.0,-22656000000.0
Change To Inventory,1649000000.0,1087000000.0,-1624000000.0,1035000000.0
Change To Account Receivables,6965000000.0,3405000000.0,-8506000000.0,-2619000000.0
Other Cashflows From Financing Activities,-1016000000.0,-6323000000.0,-5701000000.0,-8077000000.0
Change To Netincome,-29035000000.0,-31385000000.0,-27542000000.0,-16597000000.0
Capital Expenditures,-21320000000.0,-31947000000.0,-47470000000.0,-39116000000.0
