,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-38730600000.0,-5350800000.0,3178600000.0,-16822800000.0
Change To Liabilities,167417000000.0,-139996300000.0,52602200000.0,51258700000.0
Total Cashflows From Investing Activities,-242448900000.0,-291007600000.0,-225686100000.0,-171187000000.0
Net Borrowings,-133807200000.0,326530600000.0,309208900000.0,23551600000.0
Total Cash From Financing Activities,-262702100000.0,224560300000.0,104364500000.0,-120073600000.0
Net Income,216382100000.0,-8931400000.0,173767000000.0,221894500000.0
Change In Cash,-6533700000.0,5015200000.0,6143600000.0,-107700000.0
Total Cash From Operating Activities,498617300000.0,71462500000.0,127465200000.0,291152900000.0
Depreciation,108509100000.0,97963100000.0,84638400000.0,76385800000.0
Other Cashflows From Investing Activities,26685000000.0,28575000000.0,26084100000.0,25931300000.0
Dividends Paid,-83831900000.0,-58031800000.0,-116790300000.0,-114671800000.0
Change To Inventory,-164209900000.0,100965300000.0,-65800100000.0,-48704700000.0
Change To Account Receivables,87947000000.0,88616600000.0,-151805800000.0,-31824400000.0
Other Cashflows From Financing Activities,-45063000000.0,-43938500000.0,-88054100000.0,-28953400000.0
Change To Netincome,81703700000.0,-67740500000.0,33628100000.0,21850100000.0
Capital Expenditures,-238331800000.0,-321774300000.0,-254948800000.0,-224448400000.0
