,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-4194100000.0,1129000000.0,-1354600000.0,2606200000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-15301600000.0,-32464000000.0,-11822800000.0,-8862200000.0
Net Borrowings,2071800000.0,42392100000.0,7108400000.0,-5008900000.0
Total Cash From Financing Activities,-31375400000.0,116600000.0,-26372200000.0,-38629300000.0
Change To Operating Activities,-7624100000.0,-3820000000.0,10457800000.0,-2094900000.0
Net Income,32570000000.0,28746100000.0,25956100000.0,25139000000.0
Change In Cash,4051000000.0,171300000.0,47000000.0,-530300000.0
Total Cash From Operating Activities,50728000000.0,32518700000.0,38242100000.0,46961200000.0
Depreciation,12983000000.0,16140400000.0,16579600000.0,14687200000.0
Other Cashflows From Investing Activities,8709600000.0,2719200000.0,3124600000.0,4166600000.0
Dividends Paid,-18488000000.0,-19387000000.0,-10004700000.0,-12516400000.0
Change To Inventory,-71600000.0,-16900000.0,-206300000.0,-40800000.0
Change To Account Receivables,9615000000.0,-16557500000.0,-19516200000.0,8501500000.0
Other Cashflows From Financing Activities,-14959200000.0,-22888500000.0,-17413900000.0,-21104000000.0
Change To Netincome,3255700000.0,8013800000.0,4960900000.0,763800000.0
Capital Expenditures,-19819600000.0,-36317400000.0,-13602000000.0,-15635000000.0
Repurchase Of Stock,,,-6062000000.0,-6062000000.0
