,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-46700000000.0,83890000000.0,40680000000.0,43830000000.0
Change To Liabilities,9980000000.0,8210000000.0,21750000000.0,7580000000.0
Total Cashflows From Investing Activities,-81290000000.0,85650000000.0,15960000000.0,28860000000.0
Net Borrowings,-13360000000.0,-10620000000.0,-1940000000.0,-430000000.0
Total Cash From Financing Activities,-326340000000.0,-399150000000.0,-278970000000.0,-268850000000.0
Change To Operating Activities,-11910000000.0,-16900000000.0,-27630000000.0,23120000000.0
Net Income,324300000000.0,323400000000.0,314720000000.0,258260000000.0
Change In Cash,-17880000000.0,14220000000.0,23410000000.0,12860000000.0
Repurchase Of Stock,-197260000000.0,-197260000000.0,-160000000000.0,-160000000000.0
Effect Of Exchange Rate,1730000000.0,4030000000.0,490000000.0,2180000000.0
Total Cash From Operating Activities,388020000000.0,323690000000.0,285930000000.0,250670000000.0
Depreciation,40650000000.0,35290000000.0,20560000000.0,20140000000.0
Other Cashflows From Investing Activities,-4210000000.0,27450000000.0,-2900000000.0,3070000000.0
Dividends Paid,-108500000000.0,-318960000000.0,-100850000000.0,-92840000000.0
Change To Inventory,-30000000.0,50000000.0,160000000.0,-50000000.0
Change To Account Receivables,10590000000.0,-38030000000.0,-15970000000.0,-32740000000.0
Other Cashflows From Financing Activities,-7220000000.0,-69570000000.0,-16180000000.0,-15580000000.0
Change To Netincome,14440000000.0,11670000000.0,-27660000000.0,-25640000000.0
Capital Expenditures,-27190000000.0,-25380000000.0,-20530000000.0,-18620000000.0
