,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-21044200000.0,-2662000000.0,1076100000.0,-2945900000.0
Change To Liabilities,-348300000.0,780900000.0,261700000.0,3405200000.0
Total Cashflows From Investing Activities,-21935500000.0,-4212400000.0,-173500000.0,-3742000000.0
Net Borrowings,-220900000.0,-2644300000.0,2308600000.0,-2134200000.0
Total Cash From Financing Activities,10033400000.0,-3004500000.0,1908900000.0,-9900000.0
Change To Operating Activities,884000000.0,853300000.0,-1546800000.0,-933200000.0
Issuance Of Stock,10575800000.0,10575800000.0,28000000.0,2505700000.0
Net Income,8714600000.0,4722500000.0,4789300000.0,3470200000.0
Change In Cash,-631500000.0,758400000.0,-610800000.0,849100000.0
Effect Of Exchange Rate,-2600000.0,3700000.0,-3100000.0,200000.0
Total Cash From Operating Activities,11312600000.0,7971600000.0,-2343100000.0,4600800000.0
Depreciation,1138600000.0,1029900000.0,824200000.0,682100000.0
Other Cashflows From Investing Activities,400900000.0,351100000.0,279800000.0,184300000.0
Dividends Paid,-245200000.0,-214500000.0,-239000000.0,-123300000.0
Change To Inventory,1652000000.0,-259400000.0,-2863000000.0,-1270700000.0
Change To Account Receivables,560300000.0,1897300000.0,-3300500000.0,-1382600000.0
Other Cashflows From Financing Activities,-76300000.0,-145700000.0,-188700000.0,-253100000.0
Change To Netincome,-1332800000.0,-1095200000.0,-555900000.0,579700000.0
Capital Expenditures,-1157200000.0,-1822100000.0,-1470500000.0,-1046400000.0
