,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-6746000000.0,-8660000000.0,20571000000.0,-9075000000.0
Change To Liabilities,6451000000.0,366000000.0,-4285000000.0,6676000000.0
Total Cashflows From Investing Activities,-3435000000.0,-8729000000.0,17659000000.0,-11703000000.0
Net Borrowings,-271000000.0,-259000000.0,-259000000.0,-259000000.0
Total Cash From Financing Activities,-3382000000.0,-3990000000.0,-25308000000.0,-3246000000.0
Change To Operating Activities,1866000000.0,5712000000.0,-763000000.0,3210000000.0
Net Income,4820000000.0,6495000000.0,15983000000.0,13711000000.0
Change In Cash,337000000.0,642000000.0,-1717000000.0,2338000000.0
Total Cash From Operating Activities,7154000000.0,13361000000.0,5932000000.0,17287000000.0
Depreciation,3414000000.0,3833000000.0,4045000000.0,4672000000.0
Other Cashflows From Investing Activities,5249000000.0,4175000000.0,2941000000.0,2218000000.0
Dividends Paid,-3095000000.0,-3095000000.0,-3052000000.0,-2736000000.0
Change To Inventory,-1826000000.0,2825000000.0,-2185000000.0,-454000000.0
Change To Account Receivables,-255000000.0,1302000000.0,345000000.0,-4844000000.0
Other Cashflows From Financing Activities,-16000000.0,-636000000.0,-687000000.0,-510000000.0
Change To Netincome,-7316000000.0,-7172000000.0,-7208000000.0,-5684000000.0
Capital Expenditures,-1998000000.0,-4357000000.0,-5848000000.0,-4925000000.0
Repurchase Of Stock,,,-21569000000.0,-21569000000.0
