,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-107649579000.0,-46581624000.0,-78324683000.0,-59666049000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-104531964000.0,-45951555000.0,-78645831000.0,-55024644000.0
Change To Operating Activities,106042508000.0,87834224000.0,45490989000.0,53668159000.0
Net Income,19915900000.0,-1864566000.0,27575695000.0,31455369000.0
Change In Cash,24820724000.0,31735959000.0,-13240033000.0,20257105000.0
Effect Of Exchange Rate,-3483388000.0,5794154000.0,3640380000.0,-1028125000.0
Total Cash From Operating Activities,132836076000.0,86169843000.0,76041901000.0,88369746000.0
Depreciation,149514000.0,117208000.0,144257000.0,77868000.0
Other Cashflows From Investing Activities,3172577000.0,657547000.0,77205000.0,4799026000.0
Change To Netincome,6728154000.0,17357000.0,2830960000.0,3168350000.0
Capital Expenditures,-60263000.0,-29877000.0,-402534000.0,-159580000.0
Total Cash From Financing Activities,,-14276483000.0,-14276483000.0,-12059872000.0
Dividends Paid,,-11842200000.0,-11842200000.0,-10020000000.0
Other Cashflows From Financing Activities,,-2434283000.0,-2434283000.0,-2039872000.0
