,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,2518600000.0,-20353400000.0,17538900000.0,-1671900000.0
Change To Liabilities,1138800000.0,-1978300000.0,772700000.0,166500000.0
Total Cashflows From Investing Activities,337100000.0,-28750400000.0,13814700000.0,-7452000000.0
Net Borrowings,-946000000.0,-7725100000.0,7086500000.0,7086500000.0
Total Cash From Financing Activities,-4566200000.0,-14701500000.0,4806500000.0,-4924300000.0
Change To Operating Activities,355400000.0,29388800000.0,-33093600000.0,1091800000.0
Net Income,5051400000.0,4035200000.0,12293700000.0,10689400000.0
Change In Cash,6061500000.0,-594200000.0,-792600000.0,756600000.0
Total Cash From Operating Activities,10290600000.0,42857700000.0,-19413800000.0,13132900000.0
Depreciation,5493400000.0,5414100000.0,4486900000.0,4153400000.0
Other Cashflows From Investing Activities,2640300000.0,1561100000.0,4056800000.0,3022800000.0
Dividends Paid,-3564000000.0,-5666100000.0,-1827700000.0,-4167700000.0
Change To Inventory,22900000.0,-26200000.0,41900000.0,-46900000.0
Change To Account Receivables,38200000.0,-694200000.0,-51600000.0,-296500000.0
Other Cashflows From Financing Activities,-56200000.0,-1310300000.0,-452300000.0,-756600000.0
Change To Netincome,-1905200000.0,6634800000.0,-4088200000.0,-2839700000.0
Capital Expenditures,-5813400000.0,-10572800000.0,-7857700000.0,-8817600000.0
