,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-133000000.0,-2627700000.0,5120100000.0,-948100000.0
Change To Liabilities,-3258300000.0,-950000000.0,2742200000.0,6132200000.0
Total Cashflows From Investing Activities,-3155000000.0,-5332600000.0,2515500000.0,-3398300000.0
Net Borrowings,-16506700000.0,-1534700000.0,-3446900000.0,-4875600000.0
Total Cash From Financing Activities,-18162200000.0,-12953300000.0,-20387300000.0,-13840100000.0
Change To Operating Activities,2695300000.0,-1191000000.0,-794400000.0,-2180700000.0
Issuance Of Stock,200000.0,100000.0,100000.0,100000.0
Net Income,17208200000.0,14965800000.0,23415300000.0,16341800000.0
Change In Cash,-771900000.0,-2555000000.0,-381400000.0,3900000.0
Effect Of Exchange Rate,249000000.0,-150200000.0,201900000.0,8800000.0
Total Cash From Operating Activities,20296300000.0,15881100000.0,17288500000.0,17233500000.0
Depreciation,1876600000.0,1777200000.0,1522200000.0,1366500000.0
Other Cashflows From Investing Activities,593100000.0,576800000.0,943800000.0,664700000.0
Change To Inventory,-703500000.0,-1689400000.0,-200100000.0,-1652200000.0
Change To Account Receivables,814400000.0,1302900000.0,-1742000000.0,-2454700000.0
Other Cashflows From Financing Activities,-1655700000.0,-3240500000.0,-4675200000.0,-2833400000.0
Change To Netincome,1501700000.0,1487500000.0,-7832300000.0,-509700000.0
Capital Expenditures,-1638600000.0,-1520200000.0,-2077300000.0,-3114900000.0
Dividends Paid,,-8178200000.0,-12265200000.0,-6131200000.0
