,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,59717300000.0,-4185600000.0,-13578600000.0,-7358800000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-25727100000.0,-111351100000.0,-104511700000.0,-70655100000.0
Net Borrowings,-126541400000.0,118036700000.0,65871300000.0,14649800000.0
Total Cash From Financing Activities,-139809000000.0,35832100000.0,2070400000.0,-42177300000.0
Change To Operating Activities,127352100000.0,-26521700000.0,-13798000000.0,3264700000.0
Issuance Of Stock,55195300000.0,55195300000.0,55195300000.0,55195300000.0
Net Income,161649800000.0,30553600000.0,78023000000.0,90086300000.0
Change In Cash,70002000000.0,3291100000.0,-869800000.0,-2148700000.0
Total Cash From Operating Activities,235538100000.0,78810100000.0,101571500000.0,110683700000.0
Depreciation,43177500000.0,40800900000.0,34177700000.0,28850000000.0
Other Cashflows From Investing Activities,6211100000.0,14530800000.0,14641200000.0,14063100000.0
Dividends Paid,-49242700000.0,-53266200000.0,-40058300000.0,-35786800000.0
Change To Inventory,-63670100000.0,-3885600000.0,-4039300000.0,-13327400000.0
Change To Account Receivables,-25889800000.0,23487100000.0,-17477600000.0,-2678900000.0
Other Cashflows From Financing Activities,-19220200000.0,-28938400000.0,-23742600000.0,-21040300000.0
Change To Netincome,-7246000000.0,14375800000.0,24685700000.0,4489000000.0
Capital Expenditures,-92059200000.0,-121969600000.0,-105976300000.0,-77525000000.0
