,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-70949400000.0,-27833300000.0,26613900000.0,36773800000.0
Change To Liabilities,28702900000.0,2794300000.0,7658400000.0,3461500000.0
Total Cashflows From Investing Activities,-88590000000.0,-41924200000.0,11138200000.0,18615700000.0
Net Borrowings,-25149100000.0,-27454000000.0,-46481800000.0,-42068800000.0
Total Cash From Financing Activities,-43564700000.0,-50758800000.0,-67572400000.0,-57350500000.0
Change To Operating Activities,-5052800000.0,-1722300000.0,-11672000000.0,-5248800000.0
Issuance Of Stock,137800000.0,32500000.0,52100000.0,157200000.0
Net Income,54631000000.0,57552600000.0,24035100000.0,22221700000.0
Change In Cash,-7121900000.0,-2954000000.0,3640500000.0,183900000.0
Effect Of Exchange Rate,3300000.0,4700000.0,4500000.0,41500000.0
Total Cash From Operating Activities,125029500000.0,89724300000.0,59561100000.0,38877200000.0
Depreciation,26273800000.0,26725500000.0,24029400000.0,17952900000.0
Other Cashflows From Investing Activities,746200000.0,444900000.0,483400000.0,607900000.0
Dividends Paid,-3748000000.0,-3150500000.0,-3461600000.0,-2747900000.0
Change To Inventory,1653800000.0,-641600000.0,-151100000.0,-6226200000.0
Change To Account Receivables,-2014800000.0,4726800000.0,-2792600000.0,-4540000000.0
Other Cashflows From Financing Activities,-14805400000.0,-20150900000.0,-16869000000.0,-12691000000.0
Change To Netincome,20653300000.0,162800000.0,18368100000.0,11158900000.0
Capital Expenditures,-19248700000.0,-16892900000.0,-17561800000.0,-20965000000.0
Repurchase Of Stock,,-35900000.0,-812100000.0,-812100000.0
