,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Change To Liabilities,1116700000.0,103800000.0,-863100000.0,934954000.0
Total Cashflows From Investing Activities,-248900000.0,-552000000.0,-761400000.0,906774000.0
Net Borrowings,61092000000.0,40716600000.0,40926400000.0,136900251000.0
Total Cash From Financing Activities,122255900000.0,45786300000.0,55495500000.0,130144209000.0
Change To Operating Activities,-127550100000.0,-72230700000.0,-102961900000.0,-177547941000.0
Issuance Of Stock,14921900000.0,14921900000.0,14921900000.0,14921900000.0
Net Income,24988300000.0,25122700000.0,25756800000.0,25489313000.0
Change In Cash,79619400000.0,20598500000.0,-615700000.0,-416912000.0
Total Cash From Operating Activities,-42387600000.0,-24635800000.0,-55349800000.0,-131420115000.0
Depreciation,1360200000.0,1397900000.0,419400000.0,359210000.0
Dividends Paid,-1525900000.0,-2723800000.0,-2471600000.0,-2495710000.0
Other Cashflows From Financing Activities,47767900000.0,7793500000.0,17040700000.0,-4260332000.0
Change To Netincome,57683900000.0,20957900000.0,22288700000.0,19335216000.0
Capital Expenditures,-258200000.0,-578000000.0,-779700000.0,-664278000.0
