,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-7296400000.0,-2508700000.0,6169600000.0,3050500000.0
Change To Liabilities,1820500000.0,-1487600000.0,-670500000.0,9940800000.0
Total Cashflows From Investing Activities,-7628500000.0,-5476500000.0,1883000000.0,-9441200000.0
Net Borrowings,4233100000.0,-827500000.0,-208800000.0,-1369100000.0
Total Cash From Financing Activities,1897700000.0,-7159000000.0,-3180600000.0,-4090500000.0
Change To Operating Activities,1975100000.0,-762900000.0,696200000.0,601900000.0
Issuance Of Stock,98200000.0,242100000.0,179800000.0,147100000.0
Net Income,10443100000.0,7353500000.0,7876100000.0,6623700000.0
Change In Cash,869200000.0,-4368400000.0,3680800000.0,-2554200000.0
Effect Of Exchange Rate,-3300000.0,-3300000.0,-34400000.0,-14100000.0
Total Cash From Operating Activities,6603300000.0,8267100000.0,5012800000.0,10991600000.0
Depreciation,2414500000.0,2110900000.0,1438000000.0,1357100000.0
Other Cashflows From Investing Activities,1203600000.0,624600000.0,876100000.0,840900000.0
Dividends Paid,-1878000000.0,-5319300000.0,-2501900000.0,-2186900000.0
Change To Inventory,-7480100000.0,470900000.0,-2859400000.0,-6849700000.0
Change To Account Receivables,-3318800000.0,1565800000.0,-1876800000.0,-1003100000.0
Other Cashflows From Financing Activities,-555600000.0,-1254300000.0,-649700000.0,-681600000.0
Change To Netincome,674400000.0,-1052300000.0,353400000.0,268400000.0
Capital Expenditures,-2498900000.0,-3609300000.0,-5014200000.0,-15968100000.0
