,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,16808000000.0,34579000000.0,24340000000.0,47973000000.0
Change To Liabilities,9402000000.0,-18973000000.0,28668000000.0,6232000000.0
Total Cashflows From Investing Activities,7739000000.0,34012000000.0,50126000000.0,35578000000.0
Net Borrowings,-2448000000.0,-32822000000.0,-38878000000.0,-10983000000.0
Total Cash From Financing Activities,-128840000000.0,-150998000000.0,-49369000000.0,-129978000000.0
Change To Operating Activities,931000000.0,-80000000.0,-6909000000.0,-170000000.0
Issuance Of Stock,6000000.0,14000000.0,4000000.0,24000000.0
Net Income,107946000000.0,97218000000.0,90031000000.0,80081000000.0
Change In Cash,25559000000.0,-14421000000.0,117599000000.0,-9792000000.0
Repurchase Of Stock,-116644000000.0,-105311000000.0,-105311000000.0,-110312000000.0
Effect Of Exchange Rate,-890000000.0,1922000000.0,526000000.0,375000000.0
Total Cash From Operating Activities,147550000000.0,100643000000.0,116316000000.0,84233000000.0
Depreciation,25238000000.0,20862000000.0,17156000000.0,20481000000.0
Other Cashflows From Investing Activities,19628000000.0,24204000000.0,20524000000.0,14956000000.0
Dividends Paid,-5459000000.0,-5689000000.0,-4504000000.0,-5420000000.0
Change To Inventory,803000000.0,2085000000.0,-566000000.0,545000000.0
Change To Account Receivables,11786000000.0,-6888000000.0,5972000000.0,-7543000000.0
Other Cashflows From Financing Activities,-4295000000.0,-7190000000.0,-5991000000.0,-3287000000.0
Change To Netincome,-8556000000.0,6419000000.0,-18036000000.0,-15393000000.0
Capital Expenditures,-19577000000.0,-23497000000.0,-22781000000.0,-21870000000.0
