,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,21000000.0,3702000000.0,-43000000.0,-290000000.0
Change To Liabilities,785000000.0,958000000.0,310000000.0,217000000.0
Total Cashflows From Investing Activities,-2354000000.0,1123000000.0,-2300000000.0,-2704000000.0
Net Borrowings,-618000000.0,-48000000.0,-54000000.0,13000000.0
Total Cash From Financing Activities,-5531000000.0,-1327000000.0,-1063000000.0,-744000000.0
Change To Operating Activities,408000000.0,-1551000000.0,-781000000.0,487000000.0
Issuance Of Stock,18000000.0,286000000.0,87000000.0,66000000.0
Net Income,4556000000.0,4440000000.0,4033000000.0,2802000000.0
Change In Cash,-196000000.0,3001000000.0,1092000000.0,600000000.0
Repurchase Of Stock,-4166000000.0,-11000000.0,-11000000.0,-11000000.0
Effect Of Exchange Rate,66000000.0,113000000.0,-72000000.0,172000000.0
Total Cash From Operating Activities,7623000000.0,2969000000.0,4527000000.0,3824000000.0
Depreciation,1372000000.0,1280000000.0,833000000.0,848000000.0
Other Cashflows From Investing Activities,73000000.0,83000000.0,175000000.0,104000000.0
Dividends Paid,-686000000.0,-1250000000.0,-1086000000.0,-767000000.0
Change To Account Receivables,-691000000.0,-2071000000.0,-242000000.0,-832000000.0
Other Cashflows From Financing Activities,-79000000.0,-304000000.0,-10000000.0,-56000000.0
Change To Netincome,729000000.0,-537000000.0,-41000000.0,-102000000.0
Capital Expenditures,-782000000.0,-725000000.0,-703000000.0,-888000000.0
