,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-128560900000.0,-89545704000.0,-85875402000.0,-68133349000.0
Change To Liabilities,4190400000.0,-1699389000.0,857356000.0,-195127000.0
Total Cashflows From Investing Activities,-85805500000.0,-90089278000.0,-87892244000.0,-69513531000.0
Net Borrowings,-782700000.0,-724500000.0,-724500000.0,-724500000.0
Total Cash From Financing Activities,-920300000.0,-3802340000.0,-1736424000.0,-1163121000.0
Change To Operating Activities,2384700000.0,27546973000.0,33298563000.0,28086269000.0
Issuance Of Stock,200000.0,34490000.0,241873000.0,276334000.0
Net Income,4253900000.0,1449937000.0,2625607000.0,2863924000.0
Change In Cash,-514400000.0,783754000.0,-1368069000.0,4659019000.0
Total Cash From Operating Activities,86211400000.0,94675372000.0,88260599000.0,75335671000.0
Depreciation,1616600000.0,1009067000.0,310935000.0,235408000.0
Other Cashflows From Investing Activities,45171900000.0,1729302000.0,1729302000.0,1729302000.0
Dividends Paid,-137800000.0,-3112330000.0,-1978297000.0,-1439455000.0
Change To Account Receivables,2121700000.0,-1886980000.0,-555343000.0,-1017177000.0
Change To Netincome,71644100000.0,67719848000.0,51272269000.0,44966245000.0
Capital Expenditures,-829400000.0,-1278257000.0,-1004490000.0,-491890000.0
