,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-2331397000.0,-12381278000.0,8225110000.0,-15132538000.0
Change To Liabilities,2190734000.0,-1409014000.0,518977000.0,233202000.0
Total Cashflows From Investing Activities,1539604000.0,65168169000.0,48478000.0,-19648396000.0
Net Borrowings,-12655770000.0,-85780629000.0,-3692587000.0,-44115015000.0
Total Cash From Financing Activities,-21837855000.0,-95217523000.0,8754162000.0,-2319944000.0
Change To Operating Activities,-24319725000.0,-33652803000.0,-28671865000.0,-6817570000.0
Net Income,10936024000.0,-5831983000.0,13191971000.0,44638639000.0
Change In Cash,-5731336000.0,-26579701000.0,29213893000.0,-20641170000.0
Total Cash From Operating Activities,14601830000.0,3556833000.0,20429971000.0,2703154000.0
Depreciation,1593244000.0,1995798000.0,2239776000.0,5335300000.0
Other Cashflows From Investing Activities,3353955000.0,20968506000.0,1461143000.0,3475007000.0
Dividends Paid,-1987489000.0,-8077144000.0,-1695618000.0,-8155943000.0
Change To Inventory,14800305000.0,25233942000.0,28454694000.0,-3805084000.0
Change To Account Receivables,308500000.0,-815669000.0,-542977000.0,-7449655000.0
Other Cashflows From Financing Activities,-7194596000.0,-23858750000.0,-16799870000.0,-12861206000.0
Change To Netincome,9091162000.0,18029330000.0,5232831000.0,-29431678000.0
Capital Expenditures,-135081000.0,-2063071000.0,-6041415000.0,-34092986000.0
Issuance Of Stock,,22499000000.0,30942237000.0,82500106000.0
Repurchase Of Stock,,,,-19687886000.0
