,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-8435100000.0,-12360700000.0,-254500000.0,-14656800000.0
Change To Liabilities,4103200000.0,370900000.0,-1232400000.0,4065600000.0
Total Cashflows From Investing Activities,-16479000000.0,-15084100000.0,-6598800000.0,-21450200000.0
Net Borrowings,-265100000.0,-617500000.0,246900000.0,389900000.0
Total Cash From Financing Activities,-147600000.0,-8582500000.0,-2923000000.0,-2620100000.0
Change To Operating Activities,2223000000.0,-117300000.0,-773900000.0,1081500000.0
Issuance Of Stock,383600000.0,289000000.0,361300000.0,194900000.0
Net Income,13468900000.0,18274400000.0,22027300000.0,19596700000.0
Change In Cash,509100000.0,-6725400000.0,6232900000.0,752200000.0
Total Cash From Operating Activities,17135700000.0,16941200000.0,15754700000.0,24822500000.0
Depreciation,3775600000.0,3453400000.0,2745400000.0,2084300000.0
Other Cashflows From Investing Activities,-2668500000.0,2721400000.0,1555000000.0,666200000.0
Change To Inventory,-3022500000.0,610300000.0,-2387400000.0,-587400000.0
Change To Account Receivables,-725500000.0,-4500000.0,-175600000.0,-179600000.0
Other Cashflows From Financing Activities,-266100000.0,-1429700000.0,-531900000.0,-482700000.0
Change To Netincome,-3418700000.0,-6008000000.0,-4706100000.0,-1387300000.0
Capital Expenditures,-5548200000.0,-5459000000.0,-7915100000.0,-7485000000.0
Dividends Paid,,-6824300000.0,-2999300000.0,-2722200000.0
