,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,1788200000.0,-13266300000.0,-3341200000.0,-5373700000.0
Change To Liabilities,4047100000.0,292100000.0,2004900000.0,2625800000.0
Total Cashflows From Investing Activities,4612600000.0,-15316200000.0,-8555300000.0,-9562600000.0
Net Borrowings,5652500000.0,4904900000.0,-419100000.0,672500000.0
Total Cash From Financing Activities,-22436900000.0,579400000.0,-3526800000.0,-2317500000.0
Change To Operating Activities,-1708200000.0,-236600000.0,109000000.0,821500000.0
Issuance Of Stock,1031500000.0,239700000.0,297900000.0,150600000.0
Net Income,18639000000.0,14026300000.0,11591200000.0,10042300000.0
Change In Cash,662000000.0,165400000.0,-491200000.0,605000000.0
Effect Of Exchange Rate,-24400000.0,56900000.0,33100000.0,-2600000.0
Total Cash From Operating Activities,18510700000.0,14845300000.0,11557800000.0,12487700000.0
Depreciation,1950500000.0,1818800000.0,1548300000.0,1378500000.0
Other Cashflows From Investing Activities,5223400000.0,384500000.0,-1220200000.0,22800000.0
Dividends Paid,-28237500000.0,-4325300000.0,-3543800000.0,-2636000000.0
Change To Inventory,-3514400000.0,429900000.0,-1272100000.0,87600000.0
Change To Account Receivables,614000000.0,788500000.0,-866700000.0,-1252200000.0
Other Cashflows From Financing Activities,-883400000.0,-239900000.0,138200000.0,-504600000.0
Change To Netincome,-1545300000.0,-2303000000.0,-1592000000.0,-1258000000.0
Capital Expenditures,-2420700000.0,-2441700000.0,-4012100000.0,-4229300000.0
