,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-4945200000.0,-1876800000.0,-720700000.0,-677600000.0
Change To Liabilities,1264200000.0,2958700000.0,-4992800000.0,3966900000.0
Total Cashflows From Investing Activities,5986900000.0,-15676400000.0,-29025900000.0,-19265900000.0
Net Borrowings,-10824400000.0,-16323600000.0,22303900000.0,12022200000.0
Total Cash From Financing Activities,-13648100000.0,-19471800000.0,19190600000.0,8641500000.0
Change To Operating Activities,-3155000000.0,11951400000.0,-815700000.0,-389800000.0
Net Income,53348400000.0,28451400000.0,23647300000.0,24231700000.0
Change In Cash,25830900000.0,8712400000.0,6656400000.0,8919100000.0
Effect Of Exchange Rate,-21200000.0,47800000.0,-18000000.0,-1700000.0
Total Cash From Operating Activities,33289200000.0,43812800000.0,16509700000.0,19545200000.0
Depreciation,10553900000.0,9632100000.0,6677200000.0,5548700000.0
Other Cashflows From Investing Activities,191500000.0,217800000.0,262800000.0,173300000.0
Dividends Paid,-2343100000.0,-1756100000.0,-1460200000.0,-2194000000.0
Change To Inventory,-15935800000.0,-5269800000.0,-8860400000.0,-14126700000.0
Change To Account Receivables,7158800000.0,-6561200000.0,-176100000.0,-681600000.0
Other Cashflows From Financing Activities,-480600000.0,-1394000000.0,-1653700000.0,-1189000000.0
Change To Netincome,-19945300000.0,2615200000.0,1027900000.0,965000000.0
Capital Expenditures,-14379400000.0,-13827500000.0,-14256800000.0,-13229400000.0
Issuance Of Stock,,1900000.0,600000.0,2300000.0
