,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-81923800000.0,-133486900000.0,-101484500000.0,-41351700000.0
Change To Liabilities,3360100000.0,2456500000.0,-2627200000.0,3453400000.0
Total Cashflows From Investing Activities,-36838000000.0,-99480000000.0,-69034100000.0,-9215000000.0
Net Borrowings,-25801800000.0,187671300000.0,294871000000.0,117907900000.0
Total Cash From Financing Activities,16869500000.0,344793500000.0,345348200000.0,195901700000.0
Change To Operating Activities,3770700000.0,-300682900000.0,-289708500000.0,-212686000000.0
Issuance Of Stock,1032200000.0,85681200000.0,575200000.0,45381900000.0
Net Income,44704600000.0,33691300000.0,32190400000.0,26502600000.0
Change In Cash,25505500000.0,11623200000.0,5550400000.0,-9114900000.0
Total Cash From Operating Activities,45474000000.0,-233690300000.0,-270763700000.0,-195801600000.0
Depreciation,3734300000.0,3684200000.0,1705400000.0,1265100000.0
Other Cashflows From Investing Activities,49967000000.0,43307700000.0,38626900000.0,35424500000.0
Dividends Paid,-825000000.0,-6828300000.0,-1823800000.0,-1102300000.0
Change To Account Receivables,2518500000.0,-4907400000.0,-5423000000.0,-1083900000.0
Other Cashflows From Financing Activities,42464100000.0,78269300000.0,51725800000.0,33714200000.0
Change To Netincome,-13864500000.0,31184300000.0,-7456300000.0,-13586600000.0
Capital Expenditures,-2930200000.0,-7689400000.0,-5487100000.0,-2682900000.0
