,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-1815984000.0,-2318026000.0,710684000.0,-2598920000.0
Net Borrowings,520000000.0,-23250000000.0,-64000000000.0,-7068588000.0
Total Cash From Financing Activities,741100900000.0,316394098000.0,75408548000.0,-121697979000.0
Change To Operating Activities,-466523829000.0,-517448089000.0,-149226211000.0,43232187000.0
Issuance Of Stock,30000000000.0,46167645000.0,153979012000.0,112226044000.0
Net Income,20827501000.0,-30510379000.0,-54265663000.0,-59613115000.0
Change In Cash,400845661000.0,-82509357000.0,-11642375000.0,-4404764000.0
Total Cash From Operating Activities,-338439255000.0,-396585429000.0,-87761607000.0,119892135000.0
Depreciation,3800935000.0,3919554000.0,3728417000.0,5216765000.0
Other Cashflows From Investing Activities,222042000.0,143039000.0,114861000.0,74829000.0
Other Cashflows From Financing Activities,710580900000.0,293476453000.0,-14570464000.0,-226855435000.0
Change To Netincome,103456138000.0,147453485000.0,112001850000.0,131056298000.0
Capital Expenditures,-3489950000.0,-9618793000.0,-2978162000.0,-3435390000.0
