,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-28180000000.0,-22340000000.0,-3140000000.0,55580000000.0
Change To Liabilities,73140000000.0,-25230000000.0,-1430000000.0,21730200000.0
Total Cashflows From Investing Activities,-256370000000.0,-84270000000.0,-56480000000.0,50257500000.0
Net Borrowings,-9710000000.0,109460000000.0,-14440000000.0,-122862600000.0
Total Cash From Financing Activities,-48820000000.0,66560000000.0,-54660000000.0,-164124000000.0
Change To Operating Activities,7310000000.0,-6520000000.0,-1690000000.0,-1690000000.0
Issuance Of Stock,50000000.0,70000000.0,50000000.0,137300000.0
Net Income,34830000000.0,37670000000.0,54960000000.0,60829200000.0
Change In Cash,-129300000000.0,121740000000.0,10550000000.0,-1814500000.0
Effect Of Exchange Rate,3570000000.0,12000000000.0,1920000000.0,3075200000.0
Total Cash From Operating Activities,172320000000.0,127450000000.0,119770000000.0,108976800000.0
Depreciation,66280000000.0,50910000000.0,47770000000.0,45062400000.0
Other Cashflows From Investing Activities,24730000000.0,3640000000.0,5400000000.0,5028000000.0
Dividends Paid,-2220000000.0,-3200000000.0,-3230000000.0,-2937600000.0
Change To Inventory,-46400000000.0,-3470000000.0,-90000000.0,-29796300000.0
Change To Account Receivables,-20010000000.0,24240000000.0,-13620000000.0,-4650200000.0
Other Cashflows From Financing Activities,-36940000000.0,-39700000000.0,-35800000000.0,-38461100000.0
Change To Netincome,57170000000.0,49850000000.0,33870000000.0,15801500000.0
Capital Expenditures,-55650000000.0,-69170000000.0,-60010000000.0,-30007500000.0
Repurchase Of Stock,,-70000000.0,-1240000000.0,-1240000000.0
