,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-10311100000.0,-1252100000.0,-158500000.0,3034500000.0
Change To Liabilities,-10379500000.0,3463500000.0,11887300000.0,11860700000.0
Total Cashflows From Investing Activities,-18842300000.0,-15999000000.0,-8320700000.0,-14312100000.0
Net Borrowings,-23366700000.0,-40676200000.0,-36897000000.0,-29809000000.0
Total Cash From Financing Activities,-46119800000.0,-75619500000.0,-82613900000.0,-62756400000.0
Change To Operating Activities,-14411800000.0,15897700000.0,22007600000.0,14100500000.0
Net Income,36335600000.0,-1091700000.0,-16453400000.0,-14091100000.0
Change In Cash,54647200000.0,3645900000.0,-665700000.0,174300000.0
Total Cash From Operating Activities,119609300000.0,95264400000.0,90268900000.0,77242800000.0
Depreciation,34533400000.0,38649000000.0,54777200000.0,38744500000.0
Other Cashflows From Investing Activities,985700000.0,526500000.0,532400000.0,1532600000.0
Dividends Paid,-18300000.0,-17500000.0,-18200000.0,-18200000.0
Change To Inventory,-3340500000.0,1408200000.0,-16134500000.0,-13603000000.0
Change To Account Receivables,1286100000.0,-5642900000.0,-13257100000.0,-2106200000.0
Other Cashflows From Financing Activities,-22734800000.0,-35003100000.0,-45698700000.0,-45146600000.0
Change To Netincome,75586000000.0,42557300000.0,47415500000.0,42307300000.0
Capital Expenditures,-8581100000.0,-16645700000.0,-14333100000.0,-25767300000.0
Issuance Of Stock,,77300000.0,77300000.0,12199200000.0
