,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,38142000000.0,-87047000000.0,6007000000.0,-13824000000.0
Change To Liabilities,6902000000.0,-2477000000.0,21580000000.0,15122000000.0
Total Cashflows From Investing Activities,-268884000000.0,-304919000000.0,-285009000000.0,-279676000000.0
Net Borrowings,-146320000000.0,-85467000000.0,102494000000.0,39099000000.0
Total Cash From Financing Activities,-249103000000.0,191444000000.0,94638000000.0,19205000000.0
Change To Operating Activities,28623000000.0,-154040000000.0,-85190000000.0,15460000000.0
Issuance Of Stock,9000000.0,391819000000.0,10000000.0,13000000.0
Net Income,-150835000000.0,-321832000000.0,4095000000.0,10990000000.0
Change In Cash,-39909000000.0,76746000000.0,12484000000.0,38348000000.0
Repurchase Of Stock,-1111000000.0,-497000000.0,-248000000.0,-424000000.0
Effect Of Exchange Rate,-3972000000.0,8934000000.0,2153000000.0,281000000.0
Total Cash From Operating Activities,482050000000.0,181287000000.0,200702000000.0,298538000000.0
Depreciation,294046000000.0,270944000000.0,210950000000.0,189700000000.0
Other Cashflows From Investing Activities,27353000000.0,4748000000.0,16286000000.0,16039000000.0
Dividends Paid,-26906000000.0,-18263000000.0,-46617000000.0,-32652000000.0
Change To Inventory,-1139000000.0,-522000000.0,-191000000.0,-202000000.0
Change To Account Receivables,-3954000000.0,-8925000000.0,8427000000.0,-24474000000.0
Other Cashflows From Financing Activities,-74775000000.0,-96148000000.0,38999000000.0,13169000000.0
Change To Netincome,308407000000.0,398139000000.0,38506000000.0,89211000000.0
Capital Expenditures,-248143000000.0,-191902000000.0,-260971000000.0,-245259000000.0
