,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-5136000000.0,-9470500000.0,-8030000000.0,-6148800000.0
Change To Liabilities,-45700000.0,-7700000.0,-642200000.0,155200000.0
Total Cashflows From Investing Activities,-4827100000.0,-9275400000.0,-7765500000.0,-6327900000.0
Net Borrowings,-331200000.0,-304300000.0,-304300000.0,-304300000.0
Total Cash From Financing Activities,-6275700000.0,-3315600000.0,-1186400000.0,154100000.0
Change To Operating Activities,-18300000.0,731400000.0,1257200000.0,-192500000.0
Issuance Of Stock,104600000.0,155300000.0,1888800000.0,4234800000.0
Net Income,13257600000.0,12624100000.0,9306000000.0,7112900000.0
Change In Cash,-249600000.0,257400000.0,-10500000.0,7900000.0
Total Cash From Operating Activities,10853200000.0,12848400000.0,8941400000.0,6181700000.0
Depreciation,478800000.0,447100000.0,91400000.0,77100000.0
Other Cashflows From Investing Activities,424700000.0,492800000.0,439500000.0,-9400000.0
Dividends Paid,-5959600000.0,-2551100000.0,-2550900000.0,-3368900000.0
Change To Account Receivables,-193100000.0,220800000.0,76200000.0,-51800000.0
Other Cashflows From Financing Activities,-89500000.0,-615500000.0,-524300000.0,-711800000.0
Change To Netincome,-2701400000.0,-1223900000.0,-1184300000.0,-935700000.0
Capital Expenditures,-116200000.0,-298300000.0,-175400000.0,-170400000.0
