,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-15056200000.0,18983300000.0,-3641500000.0,-203700000.0
Change To Liabilities,1839500000.0,1712600000.0,1525000000.0,779900000.0
Total Cashflows From Investing Activities,-27722500000.0,74686900000.0,-8265100000.0,-17677300000.0
Net Borrowings,-6485600000.0,-149154000000.0,122721200000.0,179353600000.0
Total Cash From Financing Activities,20715800000.0,-130185600000.0,107518200000.0,186502500000.0
Change To Operating Activities,31322700000.0,47073300000.0,-157745200000.0,-170216700000.0
Net Income,13323400000.0,240300000.0,14670600000.0,51214900000.0
Change In Cash,29700700000.0,19883400000.0,-16793800000.0,9364300000.0
Effect Of Exchange Rate,-42200000.0,218700000.0,121800000.0,108200000.0
Total Cash From Operating Activities,36645400000.0,75163400000.0,-116111600000.0,-159665900000.0
Depreciation,5433700000.0,5700700000.0,4272900000.0,4009500000.0
Other Cashflows From Investing Activities,8086300000.0,2535100000.0,2505300000.0,1217900000.0
Dividends Paid,-3157500000.0,-5567300000.0,-4482300000.0,-3599500000.0
Change To Inventory,-2312400000.0,-3044200000.0,-690000000.0,-736500000.0
Change To Account Receivables,-2385700000.0,-1590200000.0,-1059600000.0,-2784800000.0
Other Cashflows From Financing Activities,29608900000.0,-10273800000.0,-10789400000.0,-7067300000.0
Change To Netincome,10642000000.0,23996400000.0,9721100000.0,-31915600000.0
Capital Expenditures,-5951800000.0,-4706600000.0,-6919000000.0,-8187700000.0
Issuance Of Stock,,34809500000.0,68700000.0,17815700000.0
