,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-3305700000.0,10700000.0,320500000.0,5000000.0
Change To Liabilities,401800000.0,84600000.0,136300000.0,493000000.0
Total Cashflows From Investing Activities,-4531600000.0,-1156700000.0,-569100000.0,-1083700000.0
Net Borrowings,-439100000.0,-1240200000.0,-415800000.0,-217300000.0
Total Cash From Financing Activities,-561500000.0,-2025600000.0,-682400000.0,-462700000.0
Change To Operating Activities,436100000.0,-114700000.0,-315000000.0,-317000000.0
Issuance Of Stock,48900000.0,31500000.0,31700000.0,45600000.0
Net Income,2915600000.0,2262500000.0,1754400000.0,1610700000.0
Change In Cash,37900000.0,6700000.0,-12400000.0,-3900000.0
Effect Of Exchange Rate,-200000.0,-200000.0,100000.0,100000.0
Total Cash From Operating Activities,5131200000.0,3189000000.0,1234700000.0,1542500000.0
Depreciation,1079700000.0,1072800000.0,602700000.0,523000000.0
Other Cashflows From Investing Activities,-6900000.0,-8800000.0,24400000.0,-1700000.0
Change To Inventory,207100000.0,-682100000.0,-827100000.0,-237200000.0
Change To Account Receivables,-114900000.0,513800000.0,-312700000.0,-670900000.0
Other Cashflows From Financing Activities,-171300000.0,-283300000.0,-117800000.0,-170900000.0
Change To Netincome,185300000.0,30700000.0,174700000.0,120500000.0
Capital Expenditures,-1233200000.0,-1161000000.0,-924100000.0,-1089800000.0
Dividends Paid,,-533600000.0,-180500000.0,-120100000.0
