,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-452500000.0,-173700000.0,64237200000.0,18483900000.0
Change To Liabilities,-18427200000.0,14545000000.0,9597700000.0,-984700000.0
Total Cashflows From Investing Activities,-12709600000.0,-13289200000.0,52940800000.0,5970000000.0
Net Borrowings,-58627700000.0,16589100000.0,32889400000.0,-890500000.0
Total Cash From Financing Activities,-71249300000.0,-397600000.0,23261100000.0,-25403500000.0
Change To Operating Activities,34717400000.0,-29136200000.0,-46414100000.0,-27399500000.0
Net Income,32394600000.0,28731700000.0,23286300000.0,19904700000.0
Change In Cash,68668300000.0,2524500000.0,-800000000.0,-26907900000.0
Total Cash From Operating Activities,152627200000.0,16211300000.0,-77002800000.0,-7476000000.0
Depreciation,11782800000.0,9327200000.0,9740300000.0,7539500000.0
Other Cashflows From Investing Activities,903400000.0,676400000.0,2638000000.0,12500000.0
Dividends Paid,-10031600000.0,-11118400000.0,-6620900000.0,-10758700000.0
Change To Inventory,24610400000.0,462300000.0,2012100000.0,18354700000.0
Change To Account Receivables,50781800000.0,-18741600000.0,-93335500000.0,-35633900000.0
Other Cashflows From Financing Activities,-2590000000.0,-5768300000.0,-3007400000.0,-2475700000.0
Change To Netincome,16767400000.0,10364900000.0,17598100000.0,8811800000.0
Capital Expenditures,-7629800000.0,-8902700000.0,-10934600000.0,-9809500000.0
Repurchase Of Stock,,-100000000.0,-100000000.0,-11278600000.0
Effect Of Exchange Rate,,,900000.0,1700000.0
