,2018-03-31,2017-03-31,2016-03-31,2015-03-31
Investments,3737565000.0,-1072801000.0,-4361062000.0,316976000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,4048579000.0,-974031000.0,-4398582000.0,340868000.0
Net Borrowings,64499232000.0,65979454000.0,47138362000.0,32728641000.0
Total Cash From Financing Activities,90391405000.0,67659381000.0,54305307000.0,39070700000.0
Change To Operating Activities,-116553283000.0,-80807852000.0,-64435988000.0,-53978563000.0
Net Income,10239113000.0,5116367000.0,7722936000.0,9129054000.0
Change In Cash,-911036000.0,2015901000.0,336396000.0,-289734000.0
Total Cash From Operating Activities,-95351020000.0,-64669449000.0,-49570329000.0,-39701302000.0
Depreciation,506104000.0,460082000.0,413151000.0,426901000.0
Other Cashflows From Investing Activities,999323000.0,715255000.0,492599000.0,410563000.0
Dividends Paid,-1835766000.0,-2886821000.0,-2859094000.0,-2617651000.0
Other Cashflows From Financing Activities,6617939000.0,4405548000.0,9946375000.0,8904434000.0
Change To Netincome,10260536000.0,9976075000.0,6595560000.0,4602224000.0
Capital Expenditures,-705039000.0,-628346000.0,-553804000.0,-446993000.0
