,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-2588158000.0,-19982590000.0,10068231000.0,-14378932000.0
Change To Liabilities,-191089000.0,-259814000.0,49662000.0,2698357000.0
Total Cashflows From Investing Activities,-2426217000.0,-19825329000.0,10003335000.0,-11818627000.0
Net Borrowings,493692000.0,21613252000.0,34758694000.0,65580775000.0
Total Cash From Financing Activities,-1217964000.0,18623172000.0,32115143000.0,67558317000.0
Change To Operating Activities,-13303868000.0,-17455157000.0,-53202144000.0,-66254206000.0
Net Income,11650879000.0,7915439000.0,11608538000.0,7299120000.0
Change In Cash,850963000.0,-1114362000.0,122720000.0,272305000.0
Total Cash From Operating Activities,4495144000.0,87795000.0,-41995758000.0,-55467385000.0
Depreciation,827892000.0,793453000.0,529323000.0,656138000.0
Other Cashflows From Investing Activities,131402000.0,586435000.0,348530000.0,2925894000.0
Dividends Paid,-1711430000.0,-2984968000.0,-2656528000.0,-863806000.0
Other Cashflows From Financing Activities,-226000.0,-5112000.0,12977000.0,-108652000.0
Change To Netincome,5409533000.0,8992003000.0,-1032549000.0,1168000.0
Capital Expenditures,-112767000.0,-469813000.0,-291283000.0,-341059000.0
Issuance Of Stock,,,,2950000000.0
