,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-1885700000.0,-926800000.0,331500000.0,840200000.0
Change To Liabilities,4802300000.0,-2720100000.0,3381800000.0,2353400000.0
Total Cashflows From Investing Activities,-14998800000.0,-11803300000.0,-10141800000.0,-11953000000.0
Net Borrowings,-6909800000.0,1018300000.0,5534100000.0,7079400000.0
Total Cash From Financing Activities,-2511100000.0,-1989900000.0,2457700000.0,4951400000.0
Change To Operating Activities,561000000.0,1020900000.0,-370400000.0,-2797900000.0
Issuance Of Stock,7500000000.0,7500000000.0,600000.0,600000.0
Net Income,11979400000.0,10190900000.0,6416300000.0,4617100000.0
Change In Cash,218500000.0,-731100000.0,1025400000.0,-6200000.0
Effect Of Exchange Rate,9600000.0,17700000.0,-246900000.0,215600000.0
Total Cash From Operating Activities,17716800000.0,13044400000.0,8956400000.0,6779800000.0
Depreciation,4530800000.0,3855500000.0,3531500000.0,3109100000.0
Other Cashflows From Investing Activities,-1066200000.0,-304700000.0,53100000.0,35400000.0
Dividends Paid,-1407800000.0,-803200000.0,-694100000.0,-689000000.0
Change To Inventory,-2598300000.0,52600000.0,-2673400000.0,-1207300000.0
Change To Account Receivables,-4001000000.0,1407500000.0,-3503300000.0,-256700000.0
Other Cashflows From Financing Activities,-1693500000.0,-2205000000.0,-2382900000.0,-1439000000.0
Change To Netincome,2442600000.0,-793500000.0,2108900000.0,894700000.0
Capital Expenditures,-12143500000.0,-13891600000.0,-10563800000.0,-13001800000.0
