,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-13610600000.0,-3645600000.0,3174800000.0,-5834200000.0
Change To Liabilities,4337800000.0,259900000.0,451100000.0,857500000.0
Total Cashflows From Investing Activities,-14057800000.0,-5168400000.0,3369100000.0,-5399900000.0
Net Borrowings,92700000.0,-3967600000.0,-2401500000.0,-572700000.0
Total Cash From Financing Activities,-6134100000.0,-10429700000.0,-18882000000.0,-5771100000.0
Change To Operating Activities,615000000.0,-192400000.0,1113700000.0,-1381400000.0
Issuance Of Stock,300000.0,800000.0,4800000.0,4800000.0
Net Income,16933000000.0,14449600000.0,14423300000.0,13543900000.0
Change In Cash,970400000.0,540200000.0,-514900000.0,-265400000.0
Effect Of Exchange Rate,15600000.0,2100000.0,6700000.0,-9400000.0
Total Cash From Operating Activities,21146700000.0,16136200000.0,14991300000.0,10915000000.0
Depreciation,2340900000.0,2137800000.0,1717200000.0,1572600000.0
Other Cashflows From Investing Activities,2616100000.0,2482100000.0,2444400000.0,2437200000.0
Dividends Paid,-5920900000.0,-5124500000.0,-13247100000.0,-3963400000.0
Change To Inventory,-3547100000.0,-790200000.0,-443500000.0,-1494700000.0
Change To Account Receivables,2477900000.0,142800000.0,-1302500000.0,-598900000.0
Other Cashflows From Financing Activities,-306200000.0,-1338400000.0,-3238200000.0,-1235000000.0
Change To Netincome,-2071200000.0,62000000.0,-1019800000.0,-1633200000.0
Capital Expenditures,-3112100000.0,-4174600000.0,-2343500000.0,-2069600000.0
