,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,59229087000.0,147270308000.0,-59960403000.0,-83607484000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,56641753000.0,141919317000.0,-62936887000.0,-87448959000.0
Net Borrowings,-498222553000.0,137330348000.0,336943394000.0,362664505000.0
Total Cash From Financing Activities,225927211000.0,-972084256000.0,599086216000.0,935790792000.0
Change To Operating Activities,-120986001000.0,610386196000.0,-574713364000.0,-855004403000.0
Issuance Of Stock,148802131000.0,118639176000.0,953472000.0,1420167000.0
Net Income,-34889279000.0,-164325804000.0,17092658000.0,42332200000.0
Change In Cash,208948937000.0,-185545729000.0,22311137000.0,51991595000.0
Effect Of Exchange Rate,487649000.0,-635925000.0,587809000.0,65803000.0
Total Cash From Operating Activities,-74107676000.0,645255133000.0,-514426002000.0,-796416042000.0
Depreciation,3600318000.0,3419327000.0,3054514000.0,2323569000.0
Other Cashflows From Financing Activities,575347633000.0,-1223419863000.0,267413339000.0,577194221000.0
Change To Netincome,78167286000.0,195775414000.0,40140190000.0,13932592000.0
Capital Expenditures,-2696005000.0,-5416951000.0,-3031859000.0,-3932525000.0
Dividends Paid,,-4633917000.0,-6223989000.0,-5488101000.0
