,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,-5019900000.0,13842700000.0,-1194000000.0,-2656200000.0
Change To Liabilities,-1409300000.0,32200000.0,-591000000.0,1099900000.0
Total Cashflows From Investing Activities,-4688400000.0,15303200000.0,351200000.0,-2383100000.0
Net Borrowings,-490900000.0,-390000000.0,-390000000.0,-390000000.0
Total Cash From Financing Activities,-15710700000.0,-1635200000.0,-1098500000.0,-1103500000.0
Change To Operating Activities,107500000.0,-92900000.0,-759100000.0,-790900000.0
Net Income,4976100000.0,5091300000.0,4290500000.0,3600700000.0
Change In Cash,-16125800000.0,16899800000.0,230800000.0,-168600000.0
Total Cash From Operating Activities,4273300000.0,3231800000.0,978100000.0,3318000000.0
Depreciation,1072300000.0,1010600000.0,692100000.0,652500000.0
Other Cashflows From Investing Activities,507700000.0,1478700000.0,1276500000.0,966600000.0
Dividends Paid,-998113140.0,-1029300000.0,-910500000.0,-688550000.0
Change To Inventory,-44600000.0,-439300000.0,-908200000.0,248400000.0
Change To Account Receivables,428600000.0,-24600000.0,-192400000.0,-452600000.0
Other Cashflows From Financing Activities,-26300000.0,-215900000.0,-188000000.0,-186200000.0
Change To Netincome,-879100000.0,-2367300000.0,-1575600000.0,-1050000000.0
Capital Expenditures,-177000000.0,-383900000.0,-44900000.0,-881100000.0
