,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Investments,79700000.0,262800000.0,683700000.0,-7200000.0
Change To Liabilities,1043600000.0,-194100000.0,821600000.0,391200000.0
Total Cashflows From Investing Activities,-2006200000.0,-1959400000.0,-2396100000.0,-2668700000.0
Net Borrowings,-4254100000.0,2238100000.0,-882300000.0,-286100000.0
Total Cash From Financing Activities,-5055000000.0,-1555300000.0,-3160300000.0,-2838400000.0
Change To Operating Activities,398200000.0,-679200000.0,91600000.0,-686800000.0
Net Income,9781400000.0,4674000000.0,4486300000.0,4317500000.0
Change In Cash,5416300000.0,1878200000.0,900000.0,-431300000.0
Total Cash From Operating Activities,12463700000.0,5393300000.0,5557400000.0,5075800000.0
Depreciation,2101000000.0,2027300000.0,1812600000.0,1666600000.0
Other Cashflows From Investing Activities,124300000.0,174300000.0,181100000.0,154300000.0
Dividends Paid,-635100000.0,-3522200000.0,-1990700000.0,-1528883000.0
Change To Inventory,1298000000.0,-1401300000.0,-534500000.0,792200000.0
Change To Account Receivables,-784500000.0,627600000.0,-61400000.0,-1072100000.0
Other Cashflows From Financing Activities,-165800000.0,-271200000.0,-287300000.0,-259000000.0
Change To Netincome,-1403200000.0,307200000.0,-1083500000.0,-339600000.0
Capital Expenditures,-2266100000.0,-2416500000.0,-3472400000.0,-2848200000.0
